System,Query_Length,MAP,Avg Query Time (ms),Std Query Time (ms),P@5,R@5,NDCG@5,P@10,R@10,NDCG@10,P@20,R@20,NDCG@20
Boolean_short,short,0.08077319502517868,0.09071826934814453,0.05150241416823681,0.95,0.020088105721821313,0.9671987306219145,0.95,0.04252298622631485,0.9628090235398569,0.95,0.08535158964526612,0.9585868977565902
Boolean_medium,medium,0.012752508873527066,0.20647048950195312,0.06871937344730318,0.45,0.0031848840619280207,0.4465034338163681,0.475,0.0067899361910829315,0.46528438903161135,0.475,0.01369919809078866,0.46890813502444695
Boolean_long,long,0.011001785446434188,0.364840030670166,0.054417800262453284,0.5,0.002750446361608547,0.5,0.5,0.005500892723217094,0.5,0.5,0.011001785446434188,0.5
Boolean_very_long,very_long,0.006367398917542184,0.44155120849609375,0.03757696661673272,0.3333333333333333,0.001591849729385546,0.3333333333333333,0.3333333333333333,0.003183699458771092,0.3333333333333333,0.3333333333333333,0.006367398917542184,0.3333333333333333
TF-IDF_short,short,0.09269810189963093,9.679734706878662,2.662079171576816,1.0,0.023174525474907733,1.0,1.0,0.046349050949815465,1.0,1.0,0.09269810189963093,1.0
TF-IDF_medium,medium,0.025267318960455004,7.475614547729492,0.5043874786040747,1.0,0.006316829740113751,1.0,1.0,0.012633659480227502,1.0,1.0,0.025267318960455004,1.0
TF-IDF_long,long,0.01946055915555486,7.252097129821777,1.0900029988937543,1.0,0.004865139788888715,1.0,1.0,0.00973027957777743,1.0,1.0,0.01946055915555486,1.0
TF-IDF_very_long,very_long,0.016678197556054434,8.094151814778646,0.8272040021493031,1.0,0.0041695493890136085,1.0,1.0,0.008339098778027217,1.0,1.0,0.016678197556054434,1.0
BM25_short,short,0.09269810189963093,2.1178722381591797,0.784403411787866,1.0,0.023174525474907733,1.0,1.0,0.046349050949815465,1.0,1.0,0.09269810189963093,1.0
BM25_medium,medium,0.025267318960455004,3.977477550506592,0.9857664094057532,1.0,0.006316829740113751,1.0,1.0,0.012633659480227502,1.0,1.0,0.025267318960455004,1.0
BM25_long,long,0.01946055915555486,4.3239593505859375,0.7220759469233159,1.0,0.004865139788888715,1.0,1.0,0.00973027957777743,1.0,1.0,0.01946055915555486,1.0
BM25_very_long,very_long,0.016678197556054434,6.940364837646484,0.9081335823835589,1.0,0.0041695493890136085,1.0,1.0,0.008339098778027217,1.0,1.0,0.016678197556054434,1.0
